6.1,4.9,0
5.2,3.4,0
6.1,4.4,0
6.1,4.6,0
6.4,5.8,0
6.1,4.6,0
5.8,4.3,0
5.9,4.3,0
5.9,4.7,0
6.2,4.6,0
5.9,4.7,0
5.8,4.6,0
6.1,4.6,0
5.9,4.4,0
5.9,5.0,0
6.0,4.4,0
6.0,4.2,0
5.9,4.3,0
6.2,4.7,0
6.0,4.3,0
6.2,4.4,0
6.1,4.2,0
5.9,3.8,0
5.8,3.4,0
6.0,4.8,0
6.1,4.5,0
6.1,4.5,0
5.6,3.8,0
6.1,4.5,0
5.3,4.4,1
6.2,6.6,1
6.1,6.2,1
5.0,5.9,1
5.5,5.7,1
4.5,4.8,1
5.4,4.7,1
5.5,5.6,1
4.8,4.1,1
6.1,6.0,1
5.6,5.1,1
6.3,6.6,1
5.9,6.1,1
6.1,6.6,1
5.7,5.9,1
5.6,5.0,1
6.1,6.9,1
5.8,5.6,1
5.9,5.8,1
5.3,5.4,1
5.7,5.6,1
5.7,6.0,1
6.1,5.6,1
5.7,5.3,1
5.1,4.9,1
5.2,5.3,1
5.7,5.8,1
5.9,5.7,1
6.1,6.8,1
5.8,5.6,1
4.8,4.5,1
5.5,5.6,1
6.6,6.9,1
6.1,5.9,1
6.0,6.7,1
